date,aqi,pm2_5,pm10,co2_ppm,no2_ppb,ozone_ppb,city,category,temperature_c
2022-04-03 10:42:09.933476,82.4,12.56,16.21,406.5,11.0,44.6,London,Good,35.3
2022-11-09 08:39:00.377437,82.4,26.57,64.1,456.9,40.0,1.4,,,10.3
2022-09-23 07:10:03.293142,51.0,37.77,75.94,,19.5,63.9,New York,good,25.8
2023-01-19 20:47:38.108923,153.2,19.54,28.05,414.9,17.3,52.0,Mumbai,Very Unhealthy,30.6
2023-04-23 05:34:16.440558,102.8,48.97,104.2,392.7,95.6,12.9,Cairo,MODERATE,19.7
2021-02-27 23:59:37.472152,2.4,6.1,15.11,,21.4,6.0,Cairo,Good,33.1
2021-05-18 08:33:36.637684,2.0,71.06,139.82,452.2,3.0,10.4,New York,good,31.6
2022-06-13 01:21:26.592933,54.3,21.21,46.58,422.3,62.4,9.5,London,Unhealthy,20.2
2021-01-16 00:10:29.838081,75.4,11.44,,469.3,17.4,,Mumbai,,24.4
2021-08-22 13:28:24.529768,108.0,23.26,55.79,423.2,1.4,29.2,Toronto,Moderate,21.9
2023-01-28 17:59:08.859618,126.2,17.09,23.26,437.3,8.7,1.2,London,Very Unhealthy,48.4
2021-01-25 18:37:36.455021,67.6,12.45,26.35,454.8,32.5,,Cairo,Unhealthy,28.9
2022-10-05 19:42:04.135849,12.1,20.08,46.99,373.7,29.1,90.3,Mumbai,Hazardous,34.5
2022-02-16 03:43:12.173989,14.9,69.48,145.45,,13.4,10.7,Sydney,good,
2021-02-19 17:52:11.200807,3.0,14.17,30.94,400.3,153.9,46.7,Mumbai,good,4.2
2020-11-21 08:24:35.037508,12.3,35.42,55.42,,44.8,3.5,Toronto,Good,32.1
2023-04-20 16:05:04.119147,202.9,9.58,12.19,416.5,4.7,35.7,London,Very Unhealthy,22.7
2020-09-06 02:50:05.759105,140.6,6.62,10.53,412.3,46.9,46.9,London,Hazardous,19.7
2022-03-03 02:41:47.796047,76.1,28.11,69.88,390.6,4.4,12.4,Toronto,Very Unhealthy,33.7
2023-08-03 13:54:26.637095,54.3,37.4,88.41,479.3,72.9,56.2,Beijing,Good,19.8
2023-07-31 11:40:56.450697,11.2,34.95,83.46,397.3,10.0,54.2,Mumbai,Good,12.5
2023-09-19 09:57:04.267728,63.5,4.29,10.44,445.8,10.0,9.6,Mumbai,good,20.0
2020-01-28 16:01:11.475306,1.2,24.79,55.44,364.2,,24.8,Beijing,good,29.9
2022-06-03 23:37:49.712862,,43.36,58.19,416.1,108.7,48.3,Beijing,Moderate,20.3
2023-07-12 23:02:15.860586,95.5,26.58,55.05,384.0,,18.0,Los Angeles,Unhealthy,12.5
2022-11-16 06:26:44.715869,26.1,54.97,123.53,409.1,999.0,21.4,Toronto,Good,13.5
