,tenure_months,monthly_charge_usd,data_usage_gb,calls_per_month,plan_type,churned,complaints_count,contract_type,payment_method,tech_support_calls
0,48.0,40.98,11.45,347.0,Unlimited,0.0,4.0,ANNUAL,Credit Card,16.0
1,25.0,106.58,1.09,196.0,Premium,0.0,0.0,2-Year,MANUAL,8.0
2,54.0,55.73,20.07,276.0,Unlimited,0.0,0.0,ANNUAL,Bank Transfer,15.0
3,57.0,17.72,7.4,93.0,Unlimited,0.0,3.0,No Contract,Credit Card,2.0
4,30.0,31.91,2.14,493.0,basic,0.0,5.0,ANNUAL,MANUAL,2.0
5,27.0,71.13,6.13,275.60165975103735,PREMIUM,0.0,0.0,No Contract,MANUAL,11.0
6,42.69874476987448,52.8,4.03,59.0,Standard,1.0,3.0,2-Year,MANUAL,14.0
7,23.0,87.83,0.31,238.0,basic,0.0,3.0,2-Year,Manual,14.0
8,42.69874476987448,110.43,6.02,459.0,Unlimited,0.0,1.0,No Contract,Manual,5.0
9,9.0,70.19,0.5,0.0,Basic,0.0,9.0,2-Year,auto pay,0.0
10,59.0,114.24,0.64,283.0,PREMIUM,1.0,8.0,2-Year,auto pay,1.0
11,4.0,74.84,5.91,320.0,Family,0.21638655462184875,4.0,monthly,Auto Pay,13.0
12,70.0,59.84,17.2,134.0,Unlimited,0.0,4.0,Annual,Credit Card,6.0
13,3.0,54.9,2.57,441.0,Family,0.0,8.0,No Contract,auto pay,8.0
14,51.0,45.74,1.77,275.60165975103735,basic,1.0,5.0,Monthly,Manual,19.0
15,5.0,33.13,0.89,454.0,Unlimited,0.0,3.0,No Contract,Auto Pay,0.0
16,25.0,49.95,4.34,408.0,Family,0.0,8.0,ANNUAL,Credit Card,12.0
17,22.0,80.07,7.84,47.0,Unlimited,0.0,8.0,Monthly,Credit Card,7.0
18,15.0,58.7,12.24,95.0,Unlimited,1.0,5.0,Annual,auto pay,19.0
19,13.0,53.08,1.29,192.0,Standard,0.0,4.0,Monthly,MANUAL,0.0
20,49.0,65.8,10.71,202.0,basic,0.0,2.0,monthly,MANUAL,9.1995841995842
21,54.0,61.87,2.63,86.0,Standard,0.0,3.0,2-Year,MANUAL,19.0
22,19.0,28.77,5.34,138.0,Family,1.0,3.0,2-Year,Manual,3.0
23,500.0,78.0,0.6,54.0,Unlimited,0.0,2.0,ANNUAL,Bank Transfer,3.0
24,42.69874476987448,46.91,9.77,77.0,Standard,0.0,2.0,Annual,MANUAL,2.0
25,66.0,63.16,4.04,98.0,Unlimited,0.0,3.0,No Contract,auto pay,19.0
26,12.0,82.35249471458773,9.658229166666668,0.0,Standard,0.21638655462184875,7.0,monthly,Auto Pay,4.0
27,26.0,58.14,13.07,275.60165975103735,basic,0.0,3.0,ANNUAL,Auto Pay,13.0
28,13.0,5000.0,7.43,54.0,Family,0.0,9.0,Annual,Manual,6.0
29,49.0,47.06,6.29,85.0,Unlimited,1.0,2.0,Annual,auto pay,1.0
30,50.0,65.57,9.61,300.0,Family,0.0,5.0,No Contract,Auto Pay,14.0
31,13.0,67.52,-1.0,288.0,Unlimited,0.0,8.0,Annual,Credit Card,18.0
32,45.0,64.77,13.77,74.0,basic,0.0,1.0,Annual,Credit Card,19.0
33,67.0,67.82,17.18,77.0,Premium,1.0,2.0,2-Year,auto pay,8.0
34,8.0,60.32,16.22,380.0,Standard,0.0,8.0,ANNUAL,MANUAL,8.0
35,42.69874476987448,67.45,8.46,343.0,Standard,0.0,9.0,2-Year,Bank Transfer,13.0
36,21.0,71.35,6.3,60.0,Basic,0.21638655462184875,7.0,Monthly,Credit Card,2.0
37,66.0,74.7,18.2,84.0,Premium,0.0,0.0,Monthly,Credit Card,4.0
38,67.0,100.47,2.59,394.0,Unlimited,0.0,9.0,No Contract,Manual,15.0
39,68.0,44.79,11.81,36.0,Family,0.0,1.0,2-Year,Bank Transfer,11.0
40,40.0,82.86,7.46,324.0,PREMIUM,0.0,6.0,ANNUAL,auto pay,9.1995841995842
41,37.0,63.44,9.658229166666668,56.0,Family,1.0,6.0,Monthly,Auto Pay,2.0
42,68.0,41.86,2.69,12.0,Premium,0.0,1.0,Annual,Credit Card,13.0
43,28.0,33.29,3.9,167.0,PREMIUM,0.0,7.0,2-Year,Credit Card,14.0
44,60.0,84.64,0.28,465.0,basic,1.0,0.0,ANNUAL,Manual,10.0
45,31.0,86.09,0.37,484.0,PREMIUM,0.0,3.0,2-Year,MANUAL,8.0
46,49.0,84.55,0.62,275.60165975103735,Unlimited,0.0,8.0,Annual,MANUAL,13.0
47,63.0,79.81,15.61,162.0,Premium,0.0,0.0,ANNUAL,auto pay,9.0
48,42.69874476987448,53.91,5.54,488.0,PREMIUM,0.0,0.0,2-Year,Bank Transfer,16.0
49,18.0,76.12,2.92,448.0,Family,0.21638655462184875,2.0,Annual,auto pay,1.0
50,25.0,61.56,3.28,354.0,Standard,0.0,6.0,ANNUAL,Bank Transfer,1.0
51,42.69874476987448,67.04,10.39,117.0,Basic,0.0,0.0,ANNUAL,Credit Card,0.0
52,46.0,87.45,7.93,61.0,Family,0.0,9.0,Annual,Auto Pay,10.0
53,42.69874476987448,38.11,5.26,274.0,Standard,0.0,9.0,No Contract,Credit Card,4.0
54,31.0,62.94,0.48,102.0,Premium,0.0,7.0,Monthly,Auto Pay,7.0
55,69.0,57.61,9.658229166666668,338.0,Basic,0.0,6.0,Monthly,Manual,19.0
56,64.0,61.52,2.82,435.0,Basic,0.0,7.0,No Contract,MANUAL,9.0
57,8.0,63.25,5.59,229.0,Family,0.0,8.0,Annual,Manual,5.0
58,40.0,23.71,9.54,161.0,Unlimited,0.0,6.0,No Contract,Manual,17.0
59,29.0,110.35,21.08,383.0,PREMIUM,0.0,8.0,No Contract,MANUAL,4.0
60,20.0,69.57,7.41,275.60165975103735,Premium,0.0,5.0,Annual,Credit Card,16.0
61,65.0,64.08,0.33,233.0,Family,0.0,5.0,ANNUAL,Bank Transfer,3.0
62,25.0,68.14,1.18,189.0,basic,1.0,0.0,Annual,Credit Card,17.0
63,6.0,55.57,1.31,258.0,PREMIUM,0.0,8.0,No Contract,MANUAL,5.0
64,66.0,33.65,3.21,148.0,Standard,0.0,100.0,2-Year,auto pay,2.0
65,45.0,61.94,10.56,282.0,basic,0.21638655462184875,7.0,2-Year,auto pay,3.0
66,56.0,52.84,0.46,170.0,Unlimited,1.0,2.0,2-Year,Bank Transfer,17.0
67,42.0,30.12,4.28,227.0,Basic,0.0,5.0,ANNUAL,Bank Transfer,19.0
68,22.0,79.37,11.1,155.0,Family,0.0,2.0,Annual,Credit Card,1.0
69,54.0,43.09,12.95,468.0,Unlimited,1.0,6.0,monthly,auto pay,0.0
70,58.0,68.25,13.47,255.0,Premium,0.0,4.0,ANNUAL,Credit Card,2.0
71,63.0,53.04,2.44,256.0,Premium,0.0,0.0,Monthly,auto pay,9.0
72,2.0,19.46,4.85,179.0,Family,0.0,9.0,monthly,Manual,19.0
