ship_date,weight_kg,volume_cubic_m,distance_km,shipping_cost_usd,carrier,delivery_days,damaged,late_delivery,priority,ship_month,cost_per_kg
2023-02-20 18:10:16.185973,10.65,0.296,518.6,18.83,ups,1.0,0.0,0.0,overnight,2.0,1.7680751173708917
2022-09-07 11:06:21.283217,29.98,0.053,59.2,9.41,fedex,10.0,0.0,1.0,express,9.0,0.3138759172781855
2021-09-30 06:30:20.013396,2.93,0.066,575.2,7.83,usps,4.0,0.0,1.0,economy,9.0,2.6723549488054608
2024-09-02 17:39:08.399895,1.16,0.25,1380.8,28.81,ontrac,9.0,0.0,0.0,standard,9.0,24.836206896551726
2022-04-10 21:27:08.214436,17.44,0.118,115.0,5.3,fedex,7.0,0.0,0.0,unknown,4.0,0.3038990825688073
2022-05-23 10:27:28.756164,19.63,0.105,747.7,2.49,amazon logistics,2.0,0.0,1.0,economy,5.0,0.12684666327050434
2024-04-24 23:21:09.567232,41.28,0.356,112.2,12.84,dhl,3.0,0.0,0.0,express,4.0,0.311046511627907
,5.34,0.039,138.9,18.7,amazon logistics,3.0,0.0,0.0,express,,3.50187265917603
2022-08-09 08:00:57.170988,10.29,1.149,672.5,13.844999999999999,fedex,11.0,0.0,0.0,overnight,8.0,1.345481049562682
2022-05-28 13:17:51.018985,6.17,0.331,187.9,23.22,ontrac,11.0,0.0,0.0,overnight,5.0,3.7633711507293355
2022-10-25 03:44:26.159111,11.97,0.134,1008.1,29.16,dhl,11.0,0.0,0.0,express,10.0,2.43609022556391
2024-02-19 18:37:11.382047,18.16,0.036,103.2,21.38,ups,2.0,1.0,0.0,standard,2.0,1.1773127753303965
2022-05-10 16:47:42.331986,10000.0,0.044,1605.5,4998.85,usps,10.0,0.0,0.0,standard,5.0,0.499885
2022-08-03 17:30:14.661413,27.94,0.123,800.6,30.84,ups,3.0,0.0,0.0,unknown,8.0,1.1037938439513242
2023-07-24 07:22:46.396306,24.78,0.359,791.6,18.68,fedex,2.0,0.0,0.0,standard,7.0,0.7538337368845843
2024-09-24 16:24:59.246027,9.88,0.697,557.0,2.73,ups,11.0,0.0,0.0,standard,9.0,0.2763157894736842
2021-02-11 08:16:32.632872,18.24,0.331,77.6,6.63,fedex,11.0,0.0,0.0,same day,2.0,0.36348684210526316
2022-06-18 19:47:26.863215,10000.0,0.255,237.3,5014.33,ups,7.0,0.0,1.0,standard,6.0,0.501433
2021-06-12 18:05:17.484394,9.24,1.077,772.3,13.844999999999999,dhl,7.0,0.0,1.0,express,6.0,1.4983766233766231
2024-02-28 22:04:01.033735,4.91,0.379,706.2,6.6,dhl,2.0,0.0,0.0,economy,2.0,1.3441955193482686
2022-08-08 10:41:13.990421,14.17,0.383,113.1,4.99,ontrac,-3.0,0.0,0.0,express,8.0,0.3521524347212421
2021-11-17 20:05:38.592085,91.23,0.006,116.5,30.85,unknown,10.0,0.0,0.0,same day,11.0,0.33815630823194126
2024-11-23 04:45:19.374566,38.35,0.806,98.1,29.13,ups,6.0,0.0,0.0,express,11.0,0.7595827900912646
,21.69,0.577,473.7,22.05,usps,7.0,0.0,0.0,express,,1.016597510373444
2021-11-13 08:51:02.252245,15.31,0.006,194.7,17.54,fedex,2.0,0.0,0.0,overnight,11.0,1.1456564337034616
2023-05-29 20:03:07.021356,11.96,1.513,138.6,13.844999999999999,amazon logistics,3.0,0.0,0.0,economy,5.0,1.1576086956521738
2021-02-06 23:06:58.381904,26.25,0.174,855.1,5.75,fedex,4.0,0.0,0.0,economy,2.0,0.21904761904761905
2023-11-18 18:06:40.031172,15.7,0.406,620.9,8.97,amazon logistics,6.0,0.0,0.0,standard,11.0,0.5713375796178345
2022-07-17 15:15:07.581505,0.22,0.03,0.0,13.844999999999999,fedex,11.0,0.0,0.0,standard,7.0,62.93181818181818
2021-09-04 15:46:24.103730,4.61,0.391,273.0,12.04,dhl,13.0,0.0,0.0,standard,9.0,2.6117136659436007
2023-04-11 06:26:27.885443,10.85,0.305,932.1,6.78,ups,2.0,0.0,0.0,express,4.0,0.6248847926267281
2023-08-22 03:28:32.694470,18.57,1.632,599.5,24.84,ontrac,3.0,0.0,0.0,standard,8.0,1.3376413570274637
2023-06-06 09:59:08.350635,15.81,0.677,365.1,2.25,fedex,10.0,0.0,0.0,overnight,6.0,0.14231499051233396
2023-02-21 19:26:39.932979,11.28,0.821,298.3,9.49,usps,2.0,0.0,0.0,standard,2.0,0.8413120567375887
2024-11-13 18:47:26.552606,20.4,0.795,46.1,16.34,ontrac,3.0,0.0,0.0,express,11.0,0.8009803921568628
2022-02-01 11:19:22.932458,4.6,0.268,316.6,4.34,ups,3.0,0.0,0.0,express,2.0,0.9434782608695652
2023-04-07 16:34:27.536176,18.43,0.141,244.8,21.26,fedex,4.0,0.0,1.0,overnight,4.0,1.1535539880629408
2024-04-05 07:47:59.627313,45.28,0.199,353.6,22.38,unknown,11.0,0.0,0.0,unknown,4.0,0.4942579505300353
2023-01-11 14:56:51.677391,19.45,0.522,499.7,16.7,ups,10.0,0.0,0.0,express,1.0,0.8586118251928021
2021-06-10 11:14:41.775219,2.39,0.108,147.3,1.39,fedex,11.0,0.0,0.0,overnight,6.0,0.5815899581589957
2022-06-22 19:20:46.550184,33.6,0.909,529.7,9.64,usps,1.0,0.0,0.0,express,6.0,0.2869047619047619
2023-06-29 05:08:14.942862,34.27,3.69,875.4,24.25,unknown,1.0,0.0,1.0,express,6.0,0.7076159906623869
2021-08-14 02:16:52.951741,40.67,0.484,689.3,29.1,amazon logistics,2.0,0.0,0.0,standard,8.0,0.7155151217113351
2021-07-09 00:49:51.686949,74.98,0.688,825.2,39.79,fedex,7.0,0.0,1.0,economy,7.0,0.5306748466257668
2024-05-14 01:10:50.207927,25.18,0.276,4.5,6.33,ontrac,6.0,0.0,0.0,overnight,5.0,0.25138999205718826
2023-09-24 17:44:52.141678,43.06,0.384,2498.3,50.57,dhl,3.0,0.0,0.0,economy,9.0,1.1744078030654899
2022-06-22 16:47:30.491832,29.06,0.188,9.4,1.82,dhl,7.0,0.0,0.0,standard,6.0,0.06262904335856849
2023-08-22 14:05:47.515198,3.68,0.42,274.9,7.48,dhl,1.0,0.0,0.0,standard,8.0,2.032608695652174
2024-01-07 09:31:17.034016,34.26,0.414,649.6,36.64,ups,9.0,0.0,0.0,express,1.0,1.069468768242849
2021-09-18 03:28:34.568243,2.64,0.372,611.7,5.58,fedex,13.0,0.0,0.0,unknown,9.0,2.1136363636363638
2021-03-08 12:28:51.939730,7.41,0.474,455.7,10.11,fedex,11.0,0.0,0.0,standard,3.0,1.3643724696356274
2023-04-23 20:45:26.174774,48.28,0.404,518.7,27.39,fedex,5.0,0.0,0.0,same day,4.0,0.5673156586578293
2021-12-18 16:37:57.015136,14.9,0.751,1843.4,5031.94,ups,9.0,0.0,0.0,standard,12.0,337.7140939597315
2022-08-13 03:49:11.366088,12.92,0.334,24.2,15.29,fedex,2.0,0.0,1.0,express,8.0,1.1834365325077398
,11.4,0.453,26.7,22.4,ups,9.0,0.0,0.0,express,,1.9649122807017543
2023-11-14 08:06:57.415389,19.03,0.8,275.9,13.844999999999999,fedex,11.0,0.0,0.0,economy,11.0,0.7275354703100367
2021-08-27 20:33:59.761431,37.05,0.823,368.3,14.34,amazon logistics,5.0,0.0,0.0,overnight,8.0,0.3870445344129555
2023-02-12 08:13:48.242936,32.02,0.548,105.9,2.8,amazon logistics,1.0,0.0,1.0,same day,2.0,0.08744534665833853
2021-11-26 05:35:04.579190,19.78,0.237,241.4,14.61,ups,13.0,0.0,0.0,same day,11.0,0.7386248736097067
2024-09-07 14:59:42.512925,12.27,0.299,855.8,21.69,ontrac,12.0,0.0,1.0,standard,9.0,1.7677261613691932
2021-06-26 17:38:25.646414,2.79,0.28,349.7,6.83,fedex,10.0,0.0,1.0,standard,6.0,2.4480286738351253
2023-07-18 21:34:37.006943,1.52,1.12,-100.0,18.49,ups,1.0,0.0,0.0,same day,7.0,12.164473684210526
2024-11-17 00:03:16.234504,13.15,0.108,1291.1,22.62,usps,9.0,0.0,1.0,same day,11.0,1.720152091254753
2021-03-12 23:16:27.804888,2.14,0.211,320.5,6.74,usps,3.0,0.0,0.0,economy,3.0,3.149532710280374
2023-10-30 21:05:58.032794,37.48,0.327,320.5,18.85,ups,7.0,0.0,0.0,express,10.0,0.5029348986125934
