tenure_months,monthly_charge_usd,data_usage_gb,calls_per_month,plan_type,churned,complaints_count,contract_type,payment_method,tech_support_calls
48.0,40.98,11.45,347.0,Unlimited,0.0,4.0,ANNUAL,Credit Card,16.0
25.0,106.58,1.09,196.0,Premium,0.0,0.0,2-Year,MANUAL,8.0
54.0,55.73,20.07,276.0,Unlimited,0.0,0.0,ANNUAL,Bank Transfer,15.0
57.0,17.72,7.4,93.0,Unlimited,0.0,3.0,No Contract,Credit Card,2.0
30.0,31.91,2.14,493.0,basic,0.0,5.0,ANNUAL,MANUAL,2.0
27.0,71.13,6.13,,PREMIUM,0.0,0.0,No Contract,MANUAL,11.0
,52.8,4.03,59.0,Standard,1.0,3.0,2-Year,MANUAL,14.0
23.0,87.83,0.31,238.0,basic,0.0,3.0,2-Year,Manual,14.0
,110.43,6.02,459.0,Unlimited,0.0,1.0,No Contract,Manual,5.0
9.0,70.19,0.5,0.0,Basic,0.0,9.0,2-Year,auto pay,0.0
59.0,114.24,0.64,283.0,PREMIUM,1.0,8.0,2-Year,auto pay,1.0
4.0,74.84,5.91,320.0,Family,,4.0,monthly,Auto Pay,13.0
70.0,59.84,17.2,134.0,Unlimited,0.0,4.0,Annual,Credit Card,6.0
3.0,54.9,2.57,441.0,Family,0.0,8.0,No Contract,auto pay,8.0
51.0,45.74,1.77,,basic,1.0,5.0,Monthly,Manual,19.0
5.0,33.13,0.89,454.0,Unlimited,0.0,3.0,No Contract,Auto Pay,0.0
25.0,49.95,4.34,408.0,Family,0.0,8.0,ANNUAL,Credit Card,12.0
22.0,80.07,7.84,47.0,Unlimited,0.0,8.0,Monthly,Credit Card,7.0
15.0,58.7,12.24,95.0,Unlimited,1.0,5.0,Annual,auto pay,19.0
13.0,53.08,1.29,192.0,Standard,0.0,4.0,Monthly,MANUAL,0.0
49.0,65.8,10.71,202.0,basic,0.0,2.0,monthly,MANUAL,
54.0,61.87,2.63,86.0,Standard,0.0,3.0,2-Year,MANUAL,19.0
19.0,28.77,5.34,138.0,Family,1.0,3.0,2-Year,Manual,3.0
500.0,78.0,0.6,54.0,Unlimited,0.0,2.0,ANNUAL,Bank Transfer,3.0
,46.91,9.77,77.0,Standard,0.0,2.0,Annual,MANUAL,2.0
66.0,63.16,4.04,98.0,Unlimited,0.0,3.0,No Contract,auto pay,19.0
12.0,,,0.0,Standard,,7.0,monthly,Auto Pay,4.0
26.0,58.14,13.07,,basic,0.0,3.0,ANNUAL,Auto Pay,13.0
13.0,5000.0,7.43,54.0,Family,0.0,9.0,Annual,Manual,6.0
