manufacturer,vehicle_type,charging_type_last,drive_config,battery_chemistry,model_year,battery_capacity_kwh,battery_age_years,battery_health_pct,motor_power_kw,vehicle_weight_kg,drag_coefficient,tire_type,ambient_temp_c,hvac_usage,avg_speed_kmh,elevation_change_m,num_passengers,cargo_weight_kg,regenerative_braking,driving_mode,wind_speed_kmh,actual_range_km
Hyundai,,Supercharger,FWD,LFP,2024.0,62.9,,98.3,,,0.305,Low Rolling Resistance,38.1,Max Heat,,349.9,,270.0,Off,Chill,,499.9
Tesla,Sports Car,Wireless,AWD,NCA,2024.0,49.9,2.0,79.0,679.0,1455.0,0.306,Low Rolling Resistance,-6.8,Max Heat,98.2,337.9,1.0,471.0,,Chill,50.0,328.2
BMW,Truck,DC Fast Charge,FWD,Solid State,2015.0,29.6,6.0,73.0,455.0,,0.329,Standard,13.7,Heating,123.1,65.7,2.0,,High,Off-Road,60.5,421.7
NIO,Crossover,Wireless,AWD,NMC,2021.0,65.5,2.0,87.2,,3812.0,0.433,All-Terrain,-1.6,Max Cool,,,5.0,45.0,Off,Sport,21.2,647.8
NIO,Crossover,,FWD,NMC,2021.0,127.1,,78.9,222.0,1842.0,0.434,Low Rolling Resistance,,Heating,55.3,-248.0,3.0,169.0,Off,Off-Road,39.0,527.3
Audi,Sports Car,Supercharger,RWD,NMC,2018.0,42.0,0.0,,,3987.0,0.481,Low Rolling Resistance,5.9,Cooling,123.8,-472.4,6.0,250.0,Medium,,9.5,601.4
Hyundai,Truck,,FWD,NMCA,2024.0,27.5,6.0,88.6,461.0,,0.431,Low Rolling Resistance,-16.8,,,164.2,,36.0,Medium,Sport,25.6,631.1
NIO,Van,,AWD,LFP,2023.0,98.6,9.0,71.7,104.0,3762.0,0.311,Standard,21.5,Max Heat,78.9,-137.6,5.0,343.0,High,,76.6,535.1
Audi,,Wireless,RWD,,2017.0,94.9,4.0,95.3,561.0,3849.0,0.328,Low Rolling Resistance,35.0,Max Heat,90.3,467.6,,130.0,,Chill,29.7,149.7
Polestar,Truck,Level 1,,NMCA,2024.0,,1.0,72.2,340.0,2016.0,,All-Terrain,18.1,Heating,32.4,60.9,4.0,77.0,Medium,,,682.9
,Sports Car,Level 1,,NCA,2019.0,118.9,7.0,66.9,432.0,1223.0,0.421,All-Terrain,-4.1,None,92.4,,1.0,51.0,Low,Sport,74.4,232.2
,Van,Supercharger,AWD,NMC,,127.8,5.0,64.8,,3867.0,0.239,Performance,,None,,187.0,5.0,446.0,Low,,3.7,356.3
Tesla,Sports Car,DC Fast Charge,FWD,,2024.0,82.0,1.0,63.3,,2805.0,0.219,Low Rolling Resistance,,,100.6,212.7,,,,,,656.0
Audi,,Wireless,AWD,NMC,,34.0,8.0,92.6,,3541.0,0.34,All-Terrain,3.0,Heating,76.5,-120.3,4.0,,Medium,,67.0,139.2
BMW,Sedan,Level 1,AWD,NCA,2015.0,33.3,3.0,66.2,397.0,,0.398,Performance,-19.7,,117.7,-137.9,4.0,53.0,Low,,75.8,515.1
BMW,Van,Level 2,AWD,NMCA,2019.0,67.5,9.0,70.8,238.0,3832.0,0.489,Performance,5.5,,114.3,-370.2,,,Medium,Normal,10.3,429.8
,Van,Wireless,4WD,NCA,2016.0,60.2,5.0,72.1,394.0,1356.0,,Low Rolling Resistance,41.9,Heating,47.6,107.2,4.0,435.0,Medium,Normal,70.0,234.0
Rivian,Van,Supercharger,4WD,NMC,2015.0,104.5,9.0,63.8,384.0,3372.0,,,22.9,Cooling,33.1,,5.0,307.0,Off,Sport,,312.3
NIO,Crossover,DC Fast Charge,AWD,NMCA,2016.0,127.9,2.0,75.2,544.0,1479.0,0.293,Standard,25.5,None,26.2,316.8,,171.0,Off,Normal,18.2,314.4
VW,Truck,DC Fast Charge,FWD,NMCA,2023.0,127.4,1.0,71.3,232.0,2826.0,,All-Terrain,5.4,Heating,,-495.8,6.0,376.0,High,Chill,79.0,572.6
BMW,SUV,Wireless,RWD,NMC,2017.0,104.1,,87.5,388.0,1847.0,,Low Rolling Resistance,27.9,Heating,113.5,37.8,6.0,268.0,Medium,Normal,25.2,448.0
,Sedan,,AWD,NMC,2019.0,122.1,4.0,88.6,562.0,2835.0,0.289,Standard,14.5,None,50.2,-295.8,5.0,170.0,Max,Eco,27.3,646.5
Hyundai,SUV,Level 1,RWD,LFP,2023.0,34.2,5.0,66.5,600.0,3406.0,0.219,Low Rolling Resistance,40.5,Heating,28.6,-268.1,1.0,368.0,Off,Sport,2.8,566.9
VW,Hatchback,Wireless,AWD,NCA,2018.0,35.9,0.0,92.6,597.0,2738.0,0.477,Low Rolling Resistance,40.9,Cooling,,280.0,3.0,100.0,Off,Eco,,424.6
BYD,Truck,Level 2,FWD,Solid State,,112.4,2.0,76.1,298.0,1663.0,0.205,Performance,,Max Heat,34.2,,2.0,241.0,High,Normal,62.3,305.4
Lucid,Sports Car,Supercharger,AWD,NMC,2022.0,92.7,1.0,92.9,263.0,2349.0,,,29.9,Max Cool,41.7,,,200.0,High,Off-Road,54.2,411.2
Polestar,Hatchback,,RWD,LFP,2016.0,20.5,4.0,83.5,590.0,2154.0,0.426,Standard,-14.1,Cooling,104.1,-353.1,6.0,37.0,High,Chill,20.3,166.8
BYD,Sports Car,Supercharger,AWD,NCA,2019.0,124.3,,69.3,471.0,3554.0,0.38,All-Terrain,39.7,Max Heat,45.8,,,415.0,Medium,,4.4,347.4
BYD,Sports Car,Supercharger,4WD,Solid State,2020.0,129.8,6.0,61.4,325.0,3949.0,0.444,Low Rolling Resistance,31.4,,120.9,-285.1,5.0,25.0,Medium,Sport,5.1,472.2
VW,Crossover,Level 1,,LFP,2017.0,84.5,3.0,61.6,429.0,3062.0,0.486,,16.0,Heating,69.9,-174.2,4.0,,Low,Eco,67.0,215.7
BYD,Sports Car,Supercharger,RWD,LFP,2021.0,79.4,0.0,81.1,420.0,1770.0,0.207,Standard,-17.8,Heating,85.4,111.4,5.0,58.0,High,Sport,46.3,528.2
Rivian,Hatchback,Supercharger,AWD,NMC,2019.0,,4.0,,518.0,,0.459,Standard,2.5,Heating,28.6,96.4,2.0,111.0,Low,Chill,47.1,487.8
Tesla,,Supercharger,FWD,NMC,2024.0,82.3,3.0,87.8,245.0,1351.0,0.389,Standard,4.9,None,94.3,,,486.0,High,Sport,38.0,607.9
LUCID,Hatchback,DC Fast Charge,AWD,LFP,2015.0,96.9,8.0,96.0,373.0,2738.0,0.231,Low Rolling Resistance,25.5,,112.6,448.1,5.0,492.0,High,,51.4,177.5
Polestar,Sports Car,Level 2,AWD,,2019.0,82.5,7.0,92.8,91.0,2154.0,0.294,Standard,6.8,Heating,27.8,-64.9,5.0,211.0,High,Off-Road,40.5,3091.634606250512
Rivian,Sports Car,Level 2,AWD,NCA,2015.0,54.5,8.0,92.3,52.0,3510.0,0.245,,-9.6,Max Heat,,201.0,5.0,234.0,High,Sport,1.7,604.3
,Crossover,Wireless,FWD,NMCA,2016.0,33.4,5.0,67.1,647.0,2505.0,0.326,Standard,,Cooling,38.2,330.5,4.0,118.0,Off,Normal,60.2,347.5
